n_estimators,primary,subobjective_1,b,mu,alpha
17,0.24666388222375388,0.823745644011741,0.9,5,0.0
18,0.24604574304320012,0.8299011416683286,0.9,5,0.0
19,0.24545397445336942,0.8311546462579318,0.9,5,0.0
20,0.24485203949641318,0.8387065795289266,0.9,5,0.0
21,0.24416418420324143,0.8394832794376804,0.9,5,0.0
22,0.24376716798979675,0.8416053826724675,0.9,5,0.0
23,0.2431892398367936,0.8483689116108745,0.9,5,0.0
24,0.2427174948835999,0.8496323690181152,0.9,5,0.0
25,0.2423576059134331,0.8512227402520472,0.9,5,0.0
26,0.24188849518768155,0.857905942601016,0.9,5,0.0
27,0.2414647421333244,0.8627455682154973,0.9,5,0.0
28,0.2410320362702768,0.8643738138490221,0.9,5,0.0
29,0.24079366110215264,0.8650058281370145,0.9,5,0.0
30,0.24048012875854383,0.8669737629560097,0.9,5,0.0
31,0.24001369415455717,0.8731242637239743,0.9,5,0.0
32,0.2399281248924294,0.8732977067621843,0.9,5,0.0
33,0.2397309592104204,0.8734409735292562,0.9,5,0.0
34,0.2396349080113947,0.8737676161223222,0.9,5,0.0
35,0.23940751484419653,0.873756242796776,0.9,5,0.0
36,0.239221093359644,0.8745594441261996,0.9,5,0.0
37,0.23888130113679173,0.8759245731853159,0.9,5,0.0
38,0.23860788893206467,0.8765615349074841,0.9,5,0.0
39,0.23821767437231178,0.8831814640656948,0.9,5,0.0
40,0.23808111849948116,0.8839226248188446,0.9,5,0.0
41,0.23790655807358935,0.8844496167218516,0.9,5,0.0
42,0.2378062716078641,0.8860682072494204,0.9,5,0.0
43,0.2375514883942155,0.8874982580500281,0.9,5,0.0
44,0.23747727828884155,0.8877874694455556,0.9,5,0.0
45,0.2374146730791098,0.8880671382310451,0.9,5,0.0
46,0.23718447316680782,0.888374276778542,0.9,5,0.0
47,0.23706126552002255,0.888659211008883,0.9,5,0.0
48,0.23671021588543473,0.8950216171928963,0.9,5,0.0
49,0.2366434513951959,0.8949450663773569,0.9,5,0.0
50,0.2362853113083363,0.899934702862011,0.9,5,0.0
